#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
14,9,4.489461323797871e-08,nan,19.798989878159666,139.0842357091164,20.793761563097465,66.94698021907217
14,10,6.981055236509314e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,11,nan,nan,19.798989878181136,139.08423588134403,20.793761563153996,66.94698026208873
14,12,6.144379577808882e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,13,2.6665416035087203e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,14,5.3732296008132644e-08,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,15,nan,nan,19.798989878181136,139.0842357093215,20.793761563153996,66.94698021922774
14,16,nan,nan,19.798989878181136,139.0842357092417,20.793761563153996,66.94698021920794
14,17,7.160526639243317e-08,nan,19.798989878181136,139.08423570932297,20.793761563153996,66.94698021922929
14,18,4.215361502851258e-08,nan,19.798989878181136,139.08423570932294,20.793761563153996,66.94698021922929
14,19,nan,nan,19.798989878181136,139.0842357093229,20.793761563153996,66.94698021922929
14,20,nan,nan,19.798989878181136,139.08423570953192,20.793761563153996,66.946980219264
